Date : 2024-11-16 23:06:06
Directory : f:\study\design\canvas
Total : 239 files,  25705 codes, 396 comments, 4146 blanks, all 30247 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| f:\study\design\canvas\apps\form\nuxt.config.ts                                        | TypeScript         |          5 |          1 |          1 |          7 |
| f:\study\design\canvas\apps\form\package.json                                          | JSON               |         23 |          0 |          1 |         24 |
| f:\study\design\canvas\apps\form\pages\about.vue                                       | vue                |         22 |          0 |          4 |         26 |
| f:\study\design\canvas\apps\form\pages\index.vue                                       | vue                |          2 |          0 |          2 |          4 |
| f:\study\design\canvas\apps\form\plugins\vue-query.ts                                  | TypeScript         |         29 |          2 |          6 |         37 |
| f:\study\design\canvas\apps\form\server\tsconfig.json                                  | JSON with Comments |          3 |          0 |          1 |          4 |
| f:\study\design\canvas\apps\form\tsconfig.json                                         | JSON with Comments |          3 |          1 |          1 |          5 |
| f:\study\design\canvas\apps\jebet\README.md                                            | Markdown           |         40 |          0 |         11 |         51 |
| f:\study\design\canvas\apps\jebet\components.json                                      | JSON               |         20 |          0 |          0 |         20 |
| f:\study\design\canvas\apps\jebet\eslint.config.js                                     | JavaScript         |         28 |          0 |          2 |         30 |
| f:\study\design\canvas\apps\jebet\index.html                                           | HTML               |         20 |          0 |          1 |         21 |
| f:\study\design\canvas\apps\jebet\package.json                                         | JSON               |         68 |          0 |          1 |         69 |
| f:\study\design\canvas\apps\jebet\postcss.config.js                                    | JavaScript         |          6 |          0 |          1 |          7 |
| f:\study\design\canvas\apps\jebet\public\vite.svg                                      | XML                |          1 |          0 |          0 |          1 |
| f:\study\design\canvas\apps\jebet\src\assets\react.svg                                 | XML                |          1 |          0 |          0 |          1 |
| f:\study\design\canvas\apps\jebet\src\components\auth\SignInContain.tsx                | TypeScript JSX     |         44 |          0 |          3 |         47 |
| f:\study\design\canvas\apps\jebet\src\components\command\Logo.tsx                      | TypeScript JSX     |         21 |          0 |          3 |         24 |
| f:\study\design\canvas\apps\jebet\src\components\shadui\DottedSeparator.tsx            | TypeScript JSX     |         44 |          0 |          2 |         46 |
| f:\study\design\canvas\apps\jebet\src\components\ui\accordion.tsx                      | TypeScript JSX     |         49 |          0 |          7 |         56 |
| f:\study\design\canvas\apps\jebet\src\components\ui\alert-dialog.tsx                   | TypeScript JSX     |        126 |          0 |         14 |        140 |
| f:\study\design\canvas\apps\jebet\src\components\ui\aspect-ratio.tsx                   | TypeScript JSX     |          3 |          0 |          3 |          6 |
| f:\study\design\canvas\apps\jebet\src\components\ui\avatar.tsx                         | TypeScript JSX     |         43 |          0 |          6 |         49 |
| f:\study\design\canvas\apps\jebet\src\components\ui\badge.tsx                          | TypeScript JSX     |         31 |          0 |          6 |         37 |
| f:\study\design\canvas\apps\jebet\src\components\ui\breadcrumb.tsx                     | TypeScript JSX     |        105 |          0 |         11 |        116 |
| f:\study\design\canvas\apps\jebet\src\components\ui\button.tsx                         | TypeScript JSX     |         56 |          0 |          6 |         62 |
| f:\study\design\canvas\apps\jebet\src\components\ui\calendar.tsx                       | TypeScript JSX     |         66 |          0 |          5 |         71 |
| f:\study\design\canvas\apps\jebet\src\components\ui\card.tsx                           | TypeScript JSX     |         68 |          0 |          9 |         77 |
| f:\study\design\canvas\apps\jebet\src\components\ui\chart.tsx                          | TypeScript JSX     |        326 |          2 |         36 |        364 |
| f:\study\design\canvas\apps\jebet\src\components\ui\checkbox.tsx                       | TypeScript JSX     |         25 |          0 |          4 |         29 |
| f:\study\design\canvas\apps\jebet\src\components\ui\dialog.tsx                         | TypeScript JSX     |        108 |          0 |         13 |        121 |
| f:\study\design\canvas\apps\jebet\src\components\ui\input-otp.tsx                      | TypeScript JSX     |         62 |          0 |          8 |         70 |
| f:\study\design\canvas\apps\jebet\src\components\ui\input.tsx                          | TypeScript JSX     |         20 |          0 |          4 |         24 |
| f:\study\design\canvas\apps\jebet\src\components\ui\separator.tsx                      | TypeScript JSX     |         26 |          0 |          4 |         30 |
| f:\study\design\canvas\apps\jebet\src\components\ui\sheet.tsx                          | TypeScript JSX     |        125 |          0 |         16 |        141 |
| f:\study\design\canvas\apps\jebet\src\components\ui\sidebar.tsx                        | TypeScript JSX     |        696 |         12 |         54 |        762 |
| f:\study\design\canvas\apps\jebet\src\components\ui\skeleton.tsx                       | TypeScript JSX     |         13 |          0 |          3 |         16 |
| f:\study\design\canvas\apps\jebet\src\components\ui\tabs.tsx                           | TypeScript JSX     |         47 |          0 |          7 |         54 |
| f:\study\design\canvas\apps\jebet\src\components\ui\textarea.tsx                       | TypeScript JSX     |         20 |          0 |          5 |         25 |
| f:\study\design\canvas\apps\jebet\src\components\ui\tooltip.tsx                        | TypeScript JSX     |         24 |          0 |          7 |         31 |
| f:\study\design\canvas\apps\jebet\src\hooks\use-mobile.tsx                             | TypeScript JSX     |         15 |          0 |          5 |         20 |
| f:\study\design\canvas\apps\jebet\src\hooks\useUser.ts                                 | TypeScript         |         20 |          4 |          3 |         27 |
| f:\study\design\canvas\apps\jebet\src\index.css                                        | CSS                |         85 |          0 |          1 |         86 |
| f:\study\design\canvas\apps\jebet\src\lib\sign\index.ts                                | TypeScript         |         39 |          0 |          3 |         42 |
| f:\study\design\canvas\apps\jebet\src\lib\utils.ts                                     | TypeScript         |          5 |          0 |          2 |          7 |
| f:\study\design\canvas\apps\jebet\src\main.tsx                                         | TypeScript JSX     |         58 |          1 |          3 |         62 |
| f:\study\design\canvas\apps\jebet\src\page\auth\SignIn.tsx                             | TypeScript JSX     |         48 |          2 |          3 |         53 |
| f:\study\design\canvas\apps\jebet\src\page\error\Index.tsx                             | TypeScript JSX     |          4 |          0 |          2 |          6 |
| f:\study\design\canvas\apps\jebet\src\server\index.ts                                  | TypeScript         |          3 |          0 |          2 |          5 |
| f:\study\design\canvas\apps\jebet\src\store\auth.ts                                    | TypeScript         |         15 |          0 |          2 |         17 |
| f:\study\design\canvas\apps\jebet\src\vite-env.d.ts                                    | TypeScript         |          0 |          1 |          1 |          2 |
| f:\study\design\canvas\apps\jebet\tailwind.config.js                                   | JavaScript         |         89 |          1 |          1 |         91 |
| f:\study\design\canvas\apps\jebet\tsconfig.app.json                                    | JSON               |         25 |          2 |          2 |         29 |
| f:\study\design\canvas\apps\jebet\tsconfig.app.tsbuildinfo                             | JSON               |          1 |          0 |          0 |          1 |
| f:\study\design\canvas\apps\jebet\tsconfig.json                                        | JSON with Comments |         17 |          0 |          1 |         18 |
| f:\study\design\canvas\apps\jebet\tsconfig.node.json                                   | JSON               |         19 |          2 |          3 |         24 |
| f:\study\design\canvas\apps\jebet\tsconfig.node.tsbuildinfo                            | JSON               |          1 |          0 |          0 |          1 |
| f:\study\design\canvas\apps\jebet\vite.config.ts                                       | TypeScript         |         11 |          0 |          2 |         13 |
| f:\study\design\canvas\apps\ljh-design\.eslintrc.json                                  | JSON with Comments |          7 |          0 |          1 |          8 |
| f:\study\design\canvas\apps\ljh-design\README.md                                       | Markdown           |          4 |          0 |          4 |          8 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\[Id]\layout.tsx          | TypeScript JSX     |         16 |          0 |          2 |         18 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\[Id]\page.tsx            | TypeScript JSX     |         36 |          0 |          2 |         38 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\layout.tsx                    | TypeScript JSX     |         54 |          0 |          2 |         56 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\page.tsx                      | TypeScript JSX     |          9 |          0 |          2 |         11 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\sign-in\layout.tsx            | TypeScript JSX     |         19 |          0 |          2 |         21 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\sign-in\page.tsx              | TypeScript JSX     |         30 |          0 |          1 |         31 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\board\user\page.tsx                 | TypeScript JSX     |         11 |          0 |          1 |         12 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\try\Edit\[id]\layout.tsx            | TypeScript JSX     |         16 |          0 |          2 |         18 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\try\Edit\[id]\page.tsx              | TypeScript JSX     |         36 |          0 |          2 |         38 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\layout.tsx                | TypeScript JSX     |         54 |          0 |          2 |         56 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\page.tsx                  | TypeScript JSX     |          9 |          0 |          1 |         10 |
| f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\userData\page.tsx         | TypeScript JSX     |          8 |          0 |          1 |          9 |
| f:\study\design\canvas\apps\ljh-design\app\_provide\providers.tsx                      | TypeScript JSX     |         11 |          0 |          1 |         12 |
| f:\study\design\canvas\apps\ljh-design\app\_provide\query-provide.tsx                  | TypeScript JSX     |         30 |         14 |          7 |         51 |
| f:\study\design\canvas\apps\ljh-design\app\globals.css                                 | CSS                |         80 |          0 |          5 |         85 |
| f:\study\design\canvas\apps\ljh-design\app\layout.tsx                                  | TypeScript JSX     |         17 |          0 |          3 |         20 |
| f:\study\design\canvas\apps\ljh-design\app\page.tsx                                    | TypeScript JSX     |         14 |          0 |          1 |         15 |
| f:\study\design\canvas\apps\ljh-design\app\public\favicon.svg                          | XML                |         14 |          0 |          1 |         15 |
| f:\study\design\canvas\apps\ljh-design\components.json                                 | JSON               |         20 |          0 |          0 |         20 |
| f:\study\design\canvas\apps\ljh-design\components\Board\Board.tsx                      | TypeScript JSX     |          6 |          0 |          2 |          8 |
| f:\study\design\canvas\apps\ljh-design\components\Board\BoardCreate.tsx                | TypeScript JSX     |         90 |          3 |          3 |         96 |
| f:\study\design\canvas\apps\ljh-design\components\Board\BoardCreateFrom.tsx            | TypeScript JSX     |        213 |          1 |          2 |        216 |
| f:\study\design\canvas\apps\ljh-design\components\Board\BoardDelete.tsx                | TypeScript JSX     |         98 |          3 |          3 |        104 |
| f:\study\design\canvas\apps\ljh-design\components\Board\BoardEdit.tsx                  | TypeScript JSX     |         91 |          3 |          3 |         97 |
| f:\study\design\canvas\apps\ljh-design\components\Board\BoardItem.tsx                  | TypeScript JSX     |        104 |          2 |          2 |        108 |
| f:\study\design\canvas\apps\ljh-design\components\Board\BoardMain.tsx                  | TypeScript JSX     |        147 |          1 |          3 |        151 |
| f:\study\design\canvas\apps\ljh-design\components\Board\ChangeUserData.tsx             | TypeScript JSX     |        188 |          1 |          3 |        192 |
| f:\study\design\canvas\apps\ljh-design\components\Board\Navbar.tsx                     | TypeScript JSX     |         11 |          0 |          3 |         14 |
| f:\study\design\canvas\apps\ljh-design\components\Board\SiderBar.tsx                   | TypeScript JSX     |         14 |          0 |          3 |         17 |
| f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarItem.tsx               | TypeScript JSX     |         26 |          0 |          2 |         28 |
| f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarRoutes.tsx             | TypeScript JSX     |         41 |          1 |          3 |         45 |
| f:\study\design\canvas\apps\ljh-design\components\Board\UserData.tsx                   | TypeScript JSX     |         24 |          0 |          2 |         26 |
| f:\study\design\canvas\apps\ljh-design\components\Board\UserInfo.tsx                   | TypeScript JSX     |          4 |          0 |          2 |          6 |
| f:\study\design\canvas\apps\ljh-design\components\Comand\Logo.tsx                      | TypeScript JSX     |         19 |          0 |          3 |         22 |
| f:\study\design\canvas\apps\ljh-design\components\Comand\UserButton.tsx                | TypeScript JSX     |         65 |          2 |          4 |         71 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\Canvas.tsx            | TypeScript JSX     |        263 |         14 |         10 |        287 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\ColorPicker.tsx       | TypeScript JSX     |         33 |          2 |          2 |         37 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\ColorSiberbar.tsx     | TypeScript JSX     |        282 |          4 |          6 |        292 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\Edit.tsx              | TypeScript JSX     |         31 |          0 |          5 |         36 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\FilterSetting.tsx     | TypeScript JSX     |        188 |         22 |          5 |        215 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\FontSizeInput.tsx     | TypeScript JSX     |         37 |          0 |          2 |         39 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\Footer.tsx            | TypeScript JSX     |         60 |          0 |          2 |         62 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageBox.tsx          | TypeScript JSX     |         42 |          0 |          3 |         45 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageSetting.tsx      | TypeScript JSX     |         34 |          0 |          2 |         36 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\ImageSiderbar.tsx     | TypeScript JSX     |        137 |          0 |          4 |        141 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\NavBar.tsx            | TypeScript JSX     |        204 |          4 |          1 |        209 |
| f:\study\design\canvas\apps\ljh-design\components\EditComponents\ShapeSidle.tsx        | TypeScript JSX     |         72 |          0 |          5 |         77 |
